number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,132.50417750866683,0.2804241300589428,71.51191261574074,136842267043.79297,114656.40197013789,504864.99335048115,27.317331211419752,39.49670717592593,42.859916523787376
2,0.08,0.0,132.13020716578689,0.2783432162269459,70.98103829089506,136977709603.29688,113336.69104530047,505550.4045642535,28.877631655092593,41.78623697916667,43.30296473346343
3,0.12,0.0,132.2909386120663,0.27615423063268724,70.42263744212963,137133933079.70703,113354.42366843858,506767.9246721484,28.043894675925927,40.64499927662037,43.13659476128811
4,0.16,0.0,131.91348294849377,0.27928080347532647,71.21970775462962,134579516042.35547,112509.23321405861,502829.7667400316,32.27678530092592,46.50302975501543,43.32022066464175
5,0.2,0.0,132.2375505237174,0.27678266547638924,70.58294994212963,134526157260.5625,112646.94401120908,501770.1090450851,30.47005931712963,44.09263985339506,43.26065664545968
6,0.24,0.0,132.24431226611682,0.2762027324374918,70.43447579089506,134795840938.91797,112603.2484660676,502119.0523766781,31.490537712191358,45.525675154320986,43.25472431399777
7,0.28,0.0,132.2661484172498,0.27654160004917255,70.52199459876543,135237168445.51562,112744.96698695976,502524.8108319083,31.665093557098764,45.639842785493826,43.04488390711499
8,0.32,0.0,132.34830238281347,0.27522288930675776,70.18566454475308,135755842688.61328,113203.87782851099,502600.2909010699,31.773859953703703,45.959946228780865,42.75489336331481
9,0.36,0.0,132.3760481134221,0.2743302126658223,69.95759018132716,136227195404.19531,113519.86766322747,503021.3663072065,30.440684799382716,44.07879774305555,42.579688733355994
10,0.4,0.0,131.92185533756842,0.2758493288321645,70.34505063657407,135806405051.3125,113397.26697180212,502662.9662552025,32.467067901234564,46.85162688078704,42.6250921709707
