number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,77.70718343515266,0.44492340545632136,113.46123890817901,76717063779.73828,102132.63856335398,679622.1177374836,25.787412229938273,36.94012876157407,58.26470485246292
2,0.08,0.0,77.70718343515266,0.44492340545632136,113.46123890817901,76717063779.73828,102132.63856335398,679622.1177374836,25.787412229938273,36.94012876157407,58.26470485246292
3,0.12,0.0,77.68310332759387,0.4365135504855185,111.31758825231482,77700064675.53125,102562.53512438126,681608.7352135966,22.103168885030865,31.840413532021604,58.18899299837394
4,0.16,0.0,77.33785829383966,0.44249951487031663,112.84429735725308,77095962850.71094,102710.95095634283,683108.6955711533,22.811099537037038,32.68373408564815,58.263142184408025
5,0.2,0.0,77.3900078313716,0.4355877154462583,111.08042920524692,77550046361.67969,103283.65658906751,684028.8587984194,21.238098476080246,30.536773967978394,58.252068300186146
6,0.24,0.0,77.38995303534601,0.4333462952154236,110.50918451003086,77688141575.375,103597.27178162147,684640.3916555194,20.169083236882717,28.993588686342594,58.26028361594728
7,0.28,0.0,77.16393823838901,0.4407129211578261,112.38789496527778,76610216197.52344,103458.57107196088,683477.8776930473,20.59703125,29.490971016589505,58.33290812620059
8,0.32,0.0,77.33323623607934,0.43380801924506235,110.62739920910494,76898550544.25781,103899.52769477008,682579.7111310053,19.733561921296296,28.35720630787037,58.291439650516416
9,0.36,0.0,77.40207471598293,0.43206989721479094,110.1848263888889,76818869652.66406,103809.84170314338,682012.1870132302,19.364562596450618,27.847941020447532,58.28979313865279
10,0.4,0.0,77.13653241469393,0.43946230348877247,112.0689631558642,75818085975.85938,103772.91158623884,681458.6078634234,20.643351658950618,29.608066888503085,58.32002133260095
11,0.44,0.0,77.30612284387014,0.4326770444646571,110.33916280864197,76487006925.54688,104132.2667329582,680999.9584595647,19.421843653549384,28.00110580632716,58.26568991447151
12,0.48,0.0,77.08708003908382,0.43807213994130945,111.71406298225308,75938661155.76562,104095.01708664212,680855.7882268002,20.397696759259258,29.293804012345678,58.26269312647967
13,0.52,0.0,76.81860696521414,0.4422227016613523,112.77083622685186,76157402785.41016,104152.14118110048,683488.1453451209,20.807665412808642,29.935525414737654,58.26944498027201
14,0.56,0.0,76.96220619938563,0.43655803206410226,111.32720196759259,77549680395.76172,104717.28664513021,685287.2239409217,20.014443962191358,28.921524643132717,58.17229600952903
15,0.6,0.0,77.00845951150083,0.43479485006595553,110.87881703317902,77855834385.39062,104649.29087466073,685734.3784448053,19.64853973765432,28.36200352044753,58.17298686927169
