number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,48.587989039435215,0.850410941541067,216.86930314429011,18140499038.433594,183068.42414949732,792382.9066434159,134.87746190200616,189.59940706983025,59.47944412743498
2,0.08,0.0,48.587989039435215,0.850410941541067,216.86930314429011,18140499038.433594,183068.42414949732,792382.9066434159,134.87746190200616,189.59940706983025,59.47944412743498
3,0.12,0.0,48.588005212274695,0.8504180395840196,216.87112075617284,18140529626.226562,183068.174674801,792383.1598433229,134.87743055555555,189.59936342592593,59.47944777597902
4,0.16,0.0,49.77655541772151,0.8453971436677096,215.59075424382715,19047726631.992188,175615.94968654978,800248.7725356547,125.44100260416667,176.53895688657408,59.453893005676505
5,0.2,0.0,50.252145700789086,0.8420559045225874,214.73897183641975,19347110502.32422,174010.47511784517,800765.1875626332,126.83332851080247,178.23996214313271,59.76737989748748
6,0.24,0.0,50.816008659892596,0.8397135303139684,214.1425149498457,19675577012.160156,171280.0292212133,800077.3982598792,128.3175602816358,180.20638141396606,60.04502955584374
7,0.28,0.0,51.427032661167395,0.8387664187825341,213.90043788580246,20166114285.691406,169253.24914958,801547.4664243122,130.52952883873456,183.5418291859568,60.599825309294516
8,0.32,0.0,51.93156816754144,0.8352740257564187,213.00929591049382,20838246873.285156,169589.04773885614,804106.5593447735,134.75597222222223,189.37778838734567,60.73320588881506
9,0.36,0.0,52.82027896181005,0.8285962578838462,211.30730565200616,21601752263.652344,167096.16125205395,801361.6857283479,143.61210744598765,201.4909358121142,61.39255353951143
10,0.4,0.0,53.537344422337995,0.8269863204294087,210.8949893904321,22092904172.875,163663.58234777368,799211.7099586622,146.8545129243827,206.35939525462962,61.77002868806778
11,0.44,0.0,54.31244909343693,0.820380490813502,209.2122694830247,22767684433.710938,165447.26062369556,797847.3782755575,152.24911795910495,213.8472337962963,62.294663783294986
12,0.48,0.0,55.206956598200186,0.8209140582568374,209.34741319444444,23513225431.3125,163942.89629996338,794205.9331938406,158.28573061342593,222.13541931905866,63.05786702378543
13,0.52,0.0,55.707724520599434,0.8273115196100878,210.97458622685184,24137793216.726562,164075.90061625486,793758.909925361,156.012979841821,219.04008849344135,63.62318540594655
14,0.56,0.0,57.34125510420974,0.8201965728004114,209.16120466820988,25585149953.066406,161235.10506733297,788715.4510786324,158.89289834104937,222.9268287037037,64.69343419967355
15,0.6,0.0,58.29959562360731,0.8155747310909178,207.98213348765432,26363340574.171875,158845.70936042964,784260.483373393,163.5862046682099,229.8437512056327,65.3554989618267
16,0.64,0.0,58.70440335645971,0.8182438856106888,208.6623046875,26649327130.125,158466.55626987419,782274.8777872055,164.1923683449074,231.25623022762346,65.4321654877819
17,0.68,0.0,59.117832701111645,0.8177470901463039,208.53703559027778,26870201732.63672,156769.43694531143,778787.2653042438,167.21795910493827,235.19812138310186,65.30725666068466
18,0.72,0.0,59.16046092016067,0.8188577582967167,208.82115837191358,26833929165.632812,155937.15967020317,778769.5201615178,163.53505931712962,229.52171513310185,65.19998343839575
19,0.76,0.0,58.56155859469039,0.8251658781524804,210.4286762152778,26254219717.640625,157200.04191661632,781511.6065793835,155.31636477623456,218.26692201967592,64.60626878415071
20,0.8,0.0,58.61317345243818,0.8244497028777543,210.2470736882716,26408367076.035156,155800.6637085613,781950.2503390035,154.22649257330247,216.4838850308642,64.41078350055376
